Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?si=kpD3Byd44D7ovT88&t=2299,8. Select objects from a distance through pointing ,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Hand Tracking - Hold gesture,Acquisition
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?t=2571 ,9. Aim at a target and shoot,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Hand Tracking - Click gesture,System control
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?t=5193 ,12. Rotate a selected object to move another one in VE,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?t=303,1. Selection of objects by grasping,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
A Township Tale,https://youtu.be/m0lClZrF9nY?t=149,2. Adding a selected object as a feature to another,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Analog - Release,System control
A Township Tale,https://youtu.be/m0lClZrF9nY?si=VV18La2bh16tpdFx&t=283,3. Button selection to interact with env objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
A Township Tale,https://youtu.be/m0lClZrF9nY?t=273,4. Moving a selected slider button,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?si=0yPCynVPGa7JOoxC&t=201,7. Insert object into environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?t=117,8. Selecting colors for a brush by touching paint with brush,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?t=308,12. Selecting items from backpack UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
A Township Tale,https://youtu.be/gooDnzvQTQ0?t=314,13. Adding Items to on-torso UI,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?t=310,14. Picking items from on-torso UI,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
A Township Tale,https://youtu.be/2X2kwxz1b4c?t=37,24. Changing a state of an object rack by pulling a selected rope,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
A Township Tale,https://youtu.be/OoqEwdx_8no?t=470,25. Select 2D icon on a circular UI around hand,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Release,System control
A Township Tale,https://youtu.be/gooDnzvQTQ0?si=9FyfxEV58R4V29Vu&t=579,26. Insert into Environment inventory,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
A Township Tale,https://youtu.be/OoqEwdx_8no?si=uymHgUHGiyiO_mE5&t=344,27. Select item from environment inventory,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
A Township Tale,https://youtu.be/OoqEwdx_8no?si=g-3KGurF6UuEiAk2&t=2441 ,27. Hitting enemies with melee weapons,3D,Environment,Extrapersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Cubism,https://youtu.be/YM9LI2j44RQ?si=9dVVJ03903YXm0CM&t=223,1. Selection from a hand-held 2D flat menu,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Cubism,https://youtu.be/YM9LI2j44RQ?si=TDraVCA5JCZ0iL-K&t=137 ,2. Release grabbed item to insert into slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Cubism,https://youtu.be/YM9LI2j44RQ?t=130,3. Grab objects by intersecting and trigger button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Cubism,https://youtu.be/c4LcQSqd91U?si=2fuxVNHy1KYZk_Pp&t=9,4. Grab objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Cubism,https://youtu.be/c4LcQSqd91U?si=9CfIwsnMDtF98WkJ&t=38,5. Insert objects into slots,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Hand Tracking - Release gesture,System control
Moss: Book II,https://youtu.be/O6OAFXDocGQ?si=Ih8XvwKHyErUBnAN&t=345,1. Select objects with a direct grasp from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Keep Talking and Nobody Explodes,https://youtu.be/hq1R1svbp44?t=92,1. Selecting flat 2D buttons on a panel,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Keep Talking and Nobody Explodes,https://youtu.be/hq1R1svbp44?si=SBGR5jAicB-xcjIF&t=117,2. Grabing objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
OhShape,https://youtu.be/kVqMr-oGDoI?si=j2t1UL2LYn1rF59J&t=7,1. Selection of 2D buttons from a far off menu UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
OhShape,https://youtu.be/kVqMr-oGDoI?si=1IhXppN9eMj6nvqr&t=82,3. Touch in-game coins to select,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Star Trek: Bridge Crew,https://youtu.be/JwBk3LnIcRo?t=39,1. Selection from a panel UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=150,1. Directly grasp items from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=259,2. Select from a confirmation closeby UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=270,4. Store items on body by releasing them in a specific area near the body,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?si=nCSzT_0RtbLrJMW6&t=288,5. Grab item from on-torso inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=314,6. Select a turret by touch with a weapon to disable it,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Analog - Click,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=650,7. Select a target to aim at and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=715,8. Pull a switch,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=783,9. Select a button to press on a wall,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?si=Pzm41IM0mBqCOrUu&t=1534,10. Touch and dwell on on-hand UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Dwell,System control
Population: ONE,https://youtu.be/j8bZ0OyE7WU?si=i_wUi5ptN4OKZn0X&t=11,1. Select a weapon to pull out from a hand-anchored UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Release,Acquisition
Population: ONE,https://youtu.be/A3ySZ8powiw?t=117,3. Select a target to aim at and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Population: ONE,https://youtu.be/hX2DI9fGbaY?t=41,4. Select from a UI at a distance,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
SUPERHOT VR,https://youtu.be/QGKbGxBBDIw?t=280,1. Select game objects through grasping,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
SUPERHOT VR,https://youtu.be/QGKbGxBBDIw?t=308,2. Select target enemies to aim at and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
SUPERHOT VR,https://youtu.be/QGKbGxBBDIw?si=4Dxr8BwZ_r7_cmsy&t=282 ,3. Throw objects at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
SUPERHOT VR,https://youtu.be/QGKbGxBBDIw?si=lZmEy4ZKMeiI5d5r&t=725 ,4. Melee enemies with a knife,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
SUPERHOT VR,https://youtu.be/QGKbGxBBDIw?si=_QMQ-T-RAkh5bhH0&t=49 ,5. Select an area on the enemy to land a punch ,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=116,1. Directly grab objects in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=382,2. Press a physical button in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=1191,6. Select items to acquire from a far distance,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=1444,9. Switch a tool through menu that pops up in air,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Release,Acquisition
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=1666,12. Select targets or enemies to aim at and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=2071,13. Store an item in on-hand inventory,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Half-life: Alyx,https://youtu.be/ZX-03yBcm3k?t=18316,15. Select a target to throw an object towards (i.e. grenade),3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Half-life: Alyx,https://youtu.be/UmpFzk3ZyOA?t=29,17. Select wirh ray from UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=161,3. Select a different state by pulling a lever,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=1727,4. Select a 3D button to press,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?si=kmbA-QMioTg2yZgo&t=2529,7. Hit an enemy with hand,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=1277,10. Store gun in the holster on left hip,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=1287,11. Select a weapon to retrieve from on-body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=1368,12. Select an area by inserting an item into it ,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Analog - Release,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?si=MMK4d3D9zZu0ZPEV&t=15945,13. Select targets to aim at at a distance and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=1559,14. Select an enemy to attack with a sword,3D,Environment,Extrapersonal,Avatar,Handheld object,Intersecting,Automatic,System control
BONEWORKS,https://youtu.be/KQJzGzuMNOM?t=212,15. Interact with a circular pop-up UI,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Release,System control
BONEWORKS,https://youtu.be/KQJzGzuMNOM?t=247,16. Interact with a env-referenced UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BONEWORKS,https://youtu.be/Kij1QXtWZvE?t=2024,16. Put on a helmet,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Zenith: The Last City,https://youtu.be/1m7SbxNkHj0?si=_nt5XOJWMy9-YWE5&t=45,2. Select an env UI with ray,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Zenith: The Last City,https://youtu.be/1m7SbxNkHj0?si=J0osN2lSogoDrmOo&t=275,3. Shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Zenith: The Last City,https://youtu.be/1m7SbxNkHj0?si=yAIN7KGk9OzzTzgS&t=527,4. Throw sword at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Zenith: The Last City,https://youtu.be/1m7SbxNkHj0?si=ozjdeaVNcID4lzB-&t=561,5. Slice enemies with sword,3D,Environment,Extrapersonal,Avatar,Handheld object,Intersecting,Automatic,System control
X-Plane 11,https://youtu.be/C6mhb4MY4ZQ?t=167,1. Select from a UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
X-Plane 11,https://youtu.be/C6mhb4MY4ZQ?t=195,2. Grasp the door handle,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
X-Plane 11,https://youtu.be/EFQBnqrkeks?t=364,3. Point to 3d panel elements,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
X-Plane 11,https://youtu.be/gQ2DTepz40w?t=163,6. Rotate a knob to set discrete values,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
X-Plane 11,https://youtu.be/gQ2DTepz40w?t=148,7. Touch and click 2D UI in cockpit,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Surgeon Simulator VR: Meet The Medic,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=108 ,1. Select objects from the VE using grasp directly with hands,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Surgeon Simulator VR: Meet The Medic,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=307 ,2. Select from a UI with touch,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Surgeon Simulator VR: Meet The Medic,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=1637 ,5. Cut 3d objects by intersecting,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Surgeon Simulator VR: Meet The Medic,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=196 ,"6. Selecting locks to open, for example a container or case locks",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Surgeon Simulator VR: Meet The Medic,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=242 ,7. Touch buttons in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Horizon Worlds,https://youtu.be/g6Ni5S56lec?t=32,1. Selection from environment-referenced flat UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Horizon Worlds,https://youtu.be/bk1dSZAsuYU?si=fTBimeN3lhxXUT5-&t=31,2. Touch a flat button on left hand to open menu,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Horizon Worlds,https://youtu.be/bk1dSZAsuYU?si=BMK6KoSvrB4N-_rf&t=284,3. Point to a UI attached to left hand,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Horizon Worlds,https://youtu.be/g6Ni5S56lec?t=116,5. Directly grab an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Horizon Worlds,https://youtu.be/g6Ni5S56lec?t=285,7. FPS Shooting,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Horizon Worlds,https://youtu.be/-QNgXzdQji0?si=YGdW9pVALnt2Rx8x&t=92,9. Wear a hat by placing it over the users head,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Pavlov VR,https://youtu.be/-36W0fOWJBM?t=417 ,1. Press buttons on a keypad,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Pavlov VR,https://youtu.be/_PHL6y2RtUQ?si=f3xfytFLi-y9rzr5&t=213,2. Direct grab of items in env,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Pavlov VR,https://youtu.be/_PHL6y2RtUQ?si=Q0wSfWo-_wCjmvK8&t=240,3. Select from UI in env,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Pavlov VR,https://youtu.be/-36W0fOWJBM?t=187 ,4. Aim and shoot enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Pavlov VR,https://youtu.be/aGA-S0qM5nM?si=uCJvxUKI4uyaezfh&t=324,5. Throw grenade at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Pavlov VR,https://youtu.be/-36W0fOWJBM?t=186 ,7. Grasp objects from on-body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Pavlov VR,https://youtu.be/Yj9ONQ2IZ14?si=PQK6d6volFxslJza&t=65,9. Store items in on-torso inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Elder Scrolls V: Skyrim VR,https://youtu.be/_Nj8uM87EfE?t=811,1. Grasp an object within reach to select it,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
